,ANW,ANE,AWC,AEC,MBS,ASW,ASE,IOW,IOE,PNW,PNE,PWC,PEC,PSW,PSE,
,21,27,31,34,37,41,47,51,57,61,67,71,77,81,87,totn
Perciformes,27,30,61,47,45,39,29,42,66,43,1,53,21,25,24,553
Decapoda,4,13,7,4,11,6,2,7,9,10,3,9,8,2,4,99
Clupeiformes,4,6,5,6,8,4,4,6,9,10,2,8,3,1,3,79
Pleuronectiformes,8,14,1,2,4,1,2,2,2,5,3,2,1,1,1,49
Gadiformes,9,15,0,2,5,2,1,1,0,3,3,0,0,1,1,43
Scorpaeniformes,3,6,0,1,2,0,1,0,1,4,4,0,3,2,1,28
Myopsida,1,2,2,1,2,1,1,1,2,1,1,1,1,0,2,19
Salmoniformes,1,6,0,0,0,0,0,0,0,6,5,0,1,0,0,19
Beloniformes,0,2,2,0,1,1,0,1,2,3,0,2,0,1,0,15
*Elasmobranchii,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Rajiformes,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,14
Anguilliformes,1,2,0,1,2,1,0,1,2,2,0,1,0,0,0,13
Octopoda,0,1,1,1,2,1,0,1,0,1,1,1,1,0,0,11
Carcharhiniformes,0,0,2,0,1,1,0,1,2,0,0,0,0,2,1,10
Ostreida,1,2,1,0,0,1,0,0,0,1,0,1,1,1,1,10
Pectinida,2,3,0,0,0,1,0,0,1,1,0,1,0,0,1,10
Sepiida,0,2,0,2,2,0,0,1,1,1,0,1,0,0,0,10
Aulopiformes,0,0,0,0,1,0,0,2,2,2,0,2,0,0,0,9
Mytilida,1,1,0,0,1,1,0,0,0,1,0,1,0,0,2,8
Osmeriformes,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,8
Siluriformes,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,7
Lophiiformes,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,6
Squaliformes,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Atheriniformes,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5
Lamniformes,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5
Oegopsida,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,5
Ophidiiformes,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,5
Lepetellida,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4
Littorinimorpha,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Tetraodontiformes,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4
*Cephalopoda,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3
Chimaeriformes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
Neogastropoda,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Elopiformes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Squatiniformes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Zeiformes,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
*Gastropoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Acipenseriformes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Gasterosteiformes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Pleurotremata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Trochida,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rajiformes,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
,,,,,,,,,,,,,,,,
*Elasmobranchii,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Anguilliformes,1,2,0,1,2,1,0,1,2,2,0,1,0,0,0,
Octopoda,0,1,1,1,2,1,0,1,0,1,1,1,1,0,0,
Carcharhiniformes,0,0,2,0,1,1,0,1,2,0,0,0,0,2,1,
Ostreida,1,2,1,0,0,1,0,0,0,1,0,1,1,1,1,
Pectinida,2,3,0,0,0,1,0,0,1,1,0,1,0,0,1,
Sepiida,0,2,0,2,2,0,0,1,1,1,0,1,0,0,0,
Aulopiformes,0,0,0,0,1,0,0,2,2,2,0,2,0,0,0,
Mytilida,1,1,0,0,1,1,0,0,0,1,0,1,0,0,2,
Osmeriformes,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,
Siluriformes,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,
Lophiiformes,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,
Squaliformes,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,
Atheriniformes,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,
Lamniformes,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,
Oegopsida,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,
Ophidiiformes,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,
Lepetellida,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,
Littorinimorpha,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
Tetraodontiformes,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,
*Cephalopoda,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,
Chimaeriformes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,
Neogastropoda,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Elopiformes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
Squatiniformes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Zeiformes,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
*Gastropoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Acipenseriformes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Gasterosteiformes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Pleurotremata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trochida,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
others,15,27,10,9,16,12,5,9,13,19,4,11,4,6,14,
