"","nfdr20","globpt"
"1",654,0.109789385683061
"2",642,0.107774901542088
"3",655,0.109957259361476
"4",637,0.106935533150015
"5",620,0.104081680616969
"6",631,0.105928291079528
"7",623,0.104585301652213
"8",641,0.107607027863673
"9",609,0.10223507015441
"10",613,0.102906564868068
"11",682,0.114489848678666
"12",593,0.0995490912997787
"13",593,0.0995490912997787
"14",598,0.100388459691851
"15",652,0.109453638326232
"16",630,0.105760417401114
"17",632,0.106096164757943
"18",661,0.110964501431962
"19",652,0.109453638326232
"20",614,0.103074438546483
"21",609,0.10223507015441
"22",657,0.110293006718305
"23",614,0.103074438546483
"24",631,0.105928291079528
"25",626,0.105088922687456
"26",595,0.0998848386566077
"27",682,0.114489848678666
"28",681,0.114321975000252
"29",607,0.101899322797581
"30",648,0.108782143612574
"31",647,0.10861426993416
"32",656,0.11012513303989
"33",625,0.104921049009042
"34",618,0.10374593326014
"35",645,0.108278522577331
"36",617,0.103578059581726
"37",623,0.104585301652213
"38",636,0.106767659471601
"39",620,0.104081680616969
"40",576,0.0966952387667328
"41",655,0.109957259361476
"42",611,0.102570817511239
"43",646,0.108446396255745
"44",618,0.10374593326014
"45",597,0.100220586013437
"46",618,0.10374593326014
"47",621,0.104249554295384
"48",693,0.116336459141225
"49",614,0.103074438546483
"50",610,0.102402943832825
"51",644,0.108110648898917
"52",652,0.109453638326232
"53",610,0.102402943832825
"54",636,0.106767659471601
"55",621,0.104249554295384
"56",643,0.107942775220502
"57",664,0.111468122467206
"58",665,0.11163599614562
"59",591,0.0992133439429498
"60",642,0.107774901542088
"61",619,0.103913806938555
"62",670,0.112475364537693
"63",615,0.103242312224897
"64",641,0.107607027863673
"65",653,0.109621512004647
"66",626,0.105088922687456
"67",627,0.105256796365871
"68",622,0.104417427973798
"69",584,0.0980382281940485
"70",622,0.104417427973798
"71",641,0.107607027863673
"72",599,0.100556333370266
"73",644,0.108110648898917
"74",694,0.11650433281964
"75",656,0.11012513303989
"76",627,0.105256796365871
"77",669,0.112307490859278
"78",684,0.114825596035495
"79",643,0.107942775220502
"80",608,0.102067196475996
"81",590,0.0990454702645353
"82",609,0.10223507015441
"83",647,0.10861426993416
"84",632,0.106096164757943
"85",642,0.107774901542088
"86",616,0.103410185903311
"87",637,0.106935533150015
"88",641,0.107607027863673
"89",646,0.108446396255745
"90",637,0.106935533150015
"91",661,0.110964501431962
"92",670,0.112475364537693
"93",646,0.108446396255745
"94",650,0.109117890969403
"95",644,0.108110648898917
"96",672,0.112811111894522
"97",620,0.104081680616969
"98",610,0.102402943832825
"99",610,0.102402943832825
"100",630,0.105760417401114
